id_transaction;date;card;client;date_of_birth;passport;passport_valid_to;phone;operation_type;amount;operation_result;terminal_type;city;address
799191207;2024-05-25 12:00:00;18c215cc;1-21360;1995-10-09;fc73eda1;2040-09-27;17df00e2;Пополнение;900.0;Отказ;ATM;Казань;Казань, пер. Волкова, д. 9/1
849467850;2024-05-25 12:00:09;3e123824;3-57989;1957-08-11;96c241c8;бессрочно;e6fba4e5;Перевод;12347.68;Успешно;WEB;Москва;Москва, бул. Веселый, д. 2
977969154;2024-05-25 12:00:23;f14a2192;4-58986;1973-08-15;7,516E+208;бессрочно;b6a86fe8;Оплата;362270.1;Успешно;WEB;Москва;Москва, пр. Кузнецова, д. 8 стр. 7/5
862781688;2024-05-25 12:00:25;31a96a70;5-11446;1974-01-15;8b002607;бессрочно;bc1004d0;Снятие;4400.0;Успешно;ATM;Санкт-Петербург;Санкт-Петербург, пр. Народный, д. 576
260193594;2024-05-25 12:00:36;18f381ce;9-48112;1988-05-09;c9b0cd8a;2033-04-28;cfade81f;Пополнение;2800.0;Отказ;ATM;Москва;Москва, алл. Восточная, д. 5/3 стр. 11
806497944;2024-05-25 12:00:59;b951e6da;7-42337;1944-07-30;92903515;бессрочно;824e5b30;Пополнение;1200.0;Успешно;ATM;Санкт-Петербург;Санкт-Петербург, ул. Орджоникидзе, д. 76
256781173;2024-05-25 12:01:26;0664d9c5;4-70275;1979-11-02;b2790044;2024-10-21;fc8927e5;Снятие;1000.0;Успешно;ATM;Москва;Москва, пер. Совхозный, д. 1 к. 625
190398843;2024-05-25 12:01:33;de64fc9f;1-40188;1997-03-12;dd77d782;2042-03-01;ccbb217a;Перевод;195798.56;Отказ;WEB;Москва;Москва, алл. Кочубея, д. 856
354952683;2024-05-25 12:01:34;3b4f0ca8;9-40213;1973-12-25;656152ee;бессрочно;495766f8;Пополнение;100.0;Успешно;ATM;Санкт-Петербург;Санкт-Петербург, бул. Гоголя, д. 2/5 стр. 58
462745993;2024-05-25 12:01:37;e5ada753;9-22426;1980-01-03;3430f1a2;2024-12-22;40025342;Перевод;435259.14;Успешно;WEB;Москва;Москва, пер. Черняховского, д. 3 стр. 89
868218973;2024-05-25 12:01:37;48e62bac;2-90837;1954-08-30;98f26cdd;бессрочно;73bde89b;Оплата;93398.27;Отказ;POS;Москва;Москва, наб. Толстого, д. 7/3 стр. 5
746265252;2024-05-25 12:01:38;d4228ed4;7-75691;1992-11-22;94e45708;2037-11-11;7389c0e0;Оплата;79273.59;Отказ;POS;Москва;Москва, алл. Лазурная, д. 51
434014026;2024-05-25 12:01:43;7e47abb1;7-68906;1980-06-15;63ce3599;2025-06-04;c51079c7;Оплата;22718.54;Отказ;POS;Москва;Москва, пр. Вавилова, д. 4
657361973;2024-05-25 12:02:00;6,1097E+11;8-90236;1974-09-11;5b2de4fa;бессрочно;15b84ad3;Оплата;2938.08;Успешно;POS;Москва;Москва, ш. Азовское, д. 7/9 стр. 12
154687375;2024-05-25 12:02:03;4ea46a4e;7-53758;1956-10-20;1a8dea91;бессрочно;e63d69ec;Снятие;100.0;Успешно;ATM;Москва;Москва, ул. Профсоюзная, д. 12
333531745;2024-05-25 12:02:04;62094daf;6-49159;1993-12-31;8ddb0503;2038-12-20;382eb352;Снятие;3100.0;Успешно;ATM;Москва;Москва, пер. Коллективный, д. 7 к. 66
673302340;2024-05-25 12:02:04;69fe8002;2-80935;1962-05-29;79a1dc7c;бессрочно;824a78c6;Пополнение;4900.0;Отказ;ATM;Москва;Москва, пер. Жукова, д. 6/3 стр. 7
381975333;2024-05-25 12:02:10;104da413;8-38345;1973-04-14;4be7f9bb;бессрочно;b0cf937a;Оплата;11839.79;Отказ;POS;Нижний Новгород;Нижний Новгород, ш. Льва Толстого, д. 8 стр. 196
